url,id,sold,rating,reviews,initial_price,final_price,currency,stock,favorite,shop_url,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,domain,brand,category_id,flash_sale,is_available,seller_id
https://shopee.vn/%F0%9F%92%A5-%C4%90%C3%A8n-b%C3%A0n-T%C3%ADch-%C4%90i%E1%BB%87n-3-m%C3%A0u-%C3%A1nh-s%C3%A1ng-%C4%90%E1%BB%8Dc-s%C3%A1ch-%C4%91%C3%A8n-h%E1%BB%8Dc-l%C3%A0m-vi%E1%BB%87c-YG291-i.54397769.5433154616?model_id=76805819145,5433154616,30679,4.85,12917,130000,96200,VND,99,12625,https://shopee.vn/hqviet1989,4.78,24,94,2.58 hours,Mon Jan 29 2018 01:24:39 GMT+0000 ,27879,https://shopee.vn,,100636,TRUE,TRUE,54397769
https://shopee.vn/HUAWEI-Usb-T%E1%BB%91c-%C4%90%E1%BB%99-Cao-2TB-8GB-16GB-32GB-64GB-128GB-Cho-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Di-%C4%90%E1%BB%99ng-M%C3%A1y-T%C3%ADnh-i.563465637.23839144040?model_id=156816297404,23839144040,292,4.24,111,76000,38000,VND,69693,19,https://shopee.vn/sanbuqi_3c.vn,4.34,234,100,1.37 hours,Thu Oct 14 2021 07:17:12 GMT+0000 ,204,https://shopee.vn,HUAWEI,100644,FALSE,TRUE,563465637
https://shopee.vn/T%C3%BAi-x%C3%A1ch-n%E1%BB%AF-th%E1%BB%9Di-trang-PALAMA-t%C3%BAi-x%C3%A1ch-tay-%C4%91eo-ch%C3%A9o-Size-20cm-da-%C4%91%E1%BA%B9p-k%C3%A8m-m%C3%B3c-g%E1%BA%A5u-xinh-PK217-i.1252482835.28056658822?model_id=223053664863,28056658822,1199,4.75,600,120000,89000,VND,498,129,https://shopee.vn/palama,4.82,108,100,0.61 hours,Wed May 08 2024 09:12:25 GMT+0000 ,7934,https://shopee.vn,,100016,TRUE,TRUE,1252482835
https://shopee.vn/T%C3%A3-Qu%E1%BA%A7n-Ng%C6%B0%E1%BB%9Di-L%E1%BB%9Bn-A1-Si%C3%AAu-Th%E1%BA%A5m-B%E1%BB%89m-Qu%E1%BA%A7n-Ng%C6%B0%E1%BB%9Di-L%E1%BB%9Bn-Ch%E1%BB%91ng-Tr%C3%A0n-Ti%E1%BA%BFt-Ki%E1%BB%87m-Size-M-L-XL-B%C4%83ng-V%E1%BB%87-Sinh-Ch%E1%BA%A5t-L%C6%B0%E1%BB%A3ng-i.899636690.20674082429?model_id=29338914391,20674082429,1340,4.94,636,350000,280000,VND,10049,79,https://shopee.vn/bangvesinhchatluong,4.89,117,100,1.13 hours,Fri Nov 11 2022 01:17:48 GMT+0000 ,854,https://shopee.vn,Peppy,100001,TRUE,TRUE,899636690
https://shopee.vn/Ba%CC%86ng-keo-the%CC%82%CC%89-thao-Hsport-B%C4%83ng-qu%E1%BA%A5n-b%E1%BA%A3o-v%E1%BB%87-c%E1%BB%95-ch%C3%A2n-%C4%91%C3%A1-b%C3%B3ng-t%E1%BB%B1-d%C3%ADnh-cu%E1%BB%91n-b%C3%B3-g%E1%BB%91i-d%C3%A1n-c%E1%BB%95-tay-ng%C3%B3n-tay-i.1285069213.26753610568?model_id=256076416680,26753610568,1192,4.72,771,14000,8500,VND,475,82,https://shopee.vn/hsport_theducthethao,4.78,25,76,4.58 hours,Wed Jun 19 2024 02:28:57 GMT+0000 ,2012,https://shopee.vn,,100637,TRUE,TRUE,1285069213
https://shopee.vn/MOUSOON-Ba-l%C3%B4-ho%E1%BA%A1t-h%C3%ACnh-th%E1%BB%9Di-trang-m%E1%BB%9Bi-d%C3%A0nh-cho-sinh-vi%C3%AAn-T%C3%BAi-du-l%E1%BB%8Bch-gi%E1%BA%A3i-tr%C3%AD-ngo%C3%A0i-tr%E1%BB%9Di-dung-t%C3%ADch-l%E1%BB%9Bn-i.1058217099.24421511637?model_id=207700390221,24421511637,943,4.86,334,189000,86000,VND,480,868,https://shopee.vn/sunrise02.vn,4.75,1208,100,0.94 hours,Tue Aug 22 2023 06:24:55 GMT+0000 ,31982,https://shopee.vn,MOUSOON,100016,TRUE,TRUE,1058217099
https://shopee.vn/T%C3%BAi-da-b%C3%B2-treo-c%E1%BB%95-n%E1%BB%AF-DAIMENGQI-v%C3%AD-th%C3%ADch-h%E1%BB%A3p-c%E1%BB%95-%C4%91i%E1%BB%83n-th%E1%BB%9Di-trang-i.1096221152.22264606305?model_id=215098650736,22264606305,1685,4.87,679,182000,89000,VND,549,2962,https://shopee.vn/gella04.vn,4.81,1414,100,0.97 hours,Mon Oct 16 2023 11:04:44 GMT+0000 ,17143,https://shopee.vn,DAIMENGQI,100016,TRUE,TRUE,1096221152
https://shopee.vn/H%E1%BB%99p-%C4%90%E1%BB%B1ng-M%E1%BB%B9-Ph%E1%BA%A9m-%C4%90%E1%BB%83-B%C3%A0n-C%C3%B3-G%C6%B0%C6%A1ng-Trang-%C4%90i%E1%BB%83m-Nhi%E1%BB%81u-Ng%C4%83n-Ti%E1%BB%87n-L%E1%BB%A3i-i.946069547.23973544147,23973544147,4,5,2,360000,180000,VND,9994,4,https://shopee.vn/snowa7.vn,4.63,764,100,0.96 hours,Tue Jan 31 2023 11:10:37 GMT+0000 ,32362,https://shopee.vn,HANGDIAN,100636,FALSE,TRUE,946069547
https://shopee.vn/H%E1%BB%99p-m%E1%BB%B1c-m%C3%A1y-in-canon-LBP-2900-(303)-Nh%E1%BA%ADp-kh%E1%BA%A9u-si%C3%AAu-n%C3%A9t-i.10869964.1373762648?model_id=114438569195,1373762648,13098,4.89,4991,109000,90000,VND,188,563,https://shopee.vn/hoangdcmax1,4.9,375,100,0.86 hours,Mon Oct 10 2016 02:10:22 GMT+0000 ,1923,https://shopee.vn,,100644,TRUE,TRUE,10869964
https://shopee.vn/Kh%C4%83n-Len-cashmere-qu%C3%A0ng-c%E1%BB%95-unisex-nam-n%E1%BB%AF-d%C3%A0y-%E1%BA%A5m-Kh%C4%83n-len-d%E1%BB%87t-kim-tone-%C4%91en-m%E1%BA%A1nh-m%E1%BA%BD-G%C3%B3i-Qu%C3%A0-20-10-M%C3%A3-LN04-i.34484193.16696555425?model_id=215251692250,16696555425,3062,4.86,1223,360000,285000,VND,898,6012,https://shopee.vn/doucollection,4.89,1339,99,1.59 hours,Mon Sep 11 2017 17:26:14 GMT+0000 ,157208,https://shopee.vn,,100009,TRUE,TRUE,34484193
https://shopee.vn/(%F0%9D%97%96%F0%9D%97%B5%F0%9D%97%B6%CC%81%F0%9D%97%BB%F0%9D%97%B5-%F0%9D%97%B5%F0%9D%97%AE%CC%83%F0%9D%97%BB%F0%9D%97%B4-Chicago-Bulls)-V%E1%BB%9B-T%E1%BA%A5t-Nike-Th%E1%BB%83-Thao-C%C3%B4ng-Ngh%E1%BB%87-Dri-Fit-Drifit-Basic-Tr%E1%BA%AFng-%C4%90en-C%C6%A1-B%E1%BA%A3n-i.519060038.13264951739?model_id=176182028836,13264951739,2218,4.88,1472,160000,160000,VND,572617,754,https://shopee.vn/chicagobullsshop,4.88,64,92,2.49 hours,Mon Aug 23 2021 19:07:16 GMT+0000 ,18138,https://shopee.vn,NIKE,100011,FALSE,TRUE,519060038
https://shopee.vn/Qu%E1%BA%A1t-s%C6%B0%E1%BB%9Fi-%C3%A2m-tr%E1%BA%A7n-60x30cm-4-CH%E1%BB%A9c-N%C4%83ng-L%C3%A0m-M%C3%A1t-Th%C3%B4ng-Gi%C3%B3-Chi%E1%BA%BFu-S%C3%A1ng-S%C6%B0%E1%BB%9Fi-%E1%BA%A4m-TLC-LIGHTING-i.715571163.29955428959,29955428959,109,5,72,4698000,2349000,VND,43,11,https://shopee.vn/golive_kaw,5,38,82,2.04 hours,Sun Mar 13 2022 06:50:43 GMT+0000 ,269,https://shopee.vn,KAW,100010,FALSE,TRUE,715571163
https://shopee.vn/Men's-and-women's-summer-arm-protection-ice-silk-sunscreen-gloves-ice-sleeves-i.1058201180.19887576313?model_id=176459551733,19887576313,968,4.52,540,7800,3500,VND,392,46,https://shopee.vn/bubblu19.vn,4.75,331,100,0.00 hours,Tue Aug 22 2023 05:52:44 GMT+0000 ,2884,https://shopee.vn,,100009,TRUE,TRUE,1058201180
